[StudentAgent] Player 1 chose move with value=1.05, final depth=4, time=1.600s
[StudentAgent] Player 1 chose move with value=-21.65, final depth=4, time=1.600s
[StudentAgent] Player 1 chose move with value=-65.68, final depth=4, time=1.600s
[StudentAgent] Player 1 chose move with value=-53.22, final depth=5, time=1.600s
[StudentAgent] Player 1 chose move with value=-50.81, final depth=4, time=1.600s
[StudentAgent] Player 1 chose move with value=-45.71, final depth=4, time=1.600s
[StudentAgent] Player 1 chose move with value=-38.86, final depth=4, time=1.600s
[StudentAgent] Player 1 chose move with value=-39.43, final depth=3, time=1.600s
[StudentAgent] Player 1 chose move with value=-44.61, final depth=4, time=1.600s
[StudentAgent] Player 1 chose move with value=-41.82, final depth=3, time=1.600s
[StudentAgent] Player 1 chose move with value=-24.97, final depth=4, time=1.600s
[StudentAgent] Player 1 chose move with value=-20.82, final depth=3, time=1.600s
[StudentAgent] Player 1 chose move with value=-46.98, final depth=3, time=1.600s
[StudentAgent] Player 1 chose move with value=-41.20, final depth=3, time=1.600s
[StudentAgent] Player 1 chose move with value=-31.49, final depth=4, time=1.600s
[StudentAgent] Player 1 chose move with value=-34.60, final depth=4, time=1.600s
[StudentAgent] Player 1 chose move with value=-25.16, final depth=4, time=1.600s
[StudentAgent] Player 1 chose move with value=-5.53, final depth=4, time=1.600s
[StudentAgent] Player 1 chose move with value=5.73, final depth=4, time=1.600s
[StudentAgent] Player 1 chose move with value=11.42, final depth=4, time=1.600s
[StudentAgent] Player 1 chose move with value=20.41, final depth=4, time=1.600s
[StudentAgent] Player 1 chose move with value=23.27, final depth=4, time=1.600s
[StudentAgent] Player 1 chose move with value=25.25, final depth=4, time=1.600s
[StudentAgent] Player 1 chose move with value=29.94, final depth=4, time=1.600s
[StudentAgent] Player 1 chose move with value=32.87, final depth=3, time=1.600s
[StudentAgent] Player 1 chose move with value=41.07, final depth=3, time=1.600s
[StudentAgent] Player 1 chose move with value=43.79, final depth=4, time=1.600s
[StudentAgent] Player 1 chose move with value=42.43, final depth=4, time=1.600s
[StudentAgent] Player 1 chose move with value=46.27, final depth=3, time=1.600s
[StudentAgent] Player 1 chose move with value=38.82, final depth=3, time=1.600s
[StudentAgent] Player 1 chose move with value=30.30, final depth=4, time=1.600s
[StudentAgent] Player 1 chose move with value=36.91, final depth=3, time=1.601s
[StudentAgent] Player 1 chose move with value=37.39, final depth=4, time=1.601s
[StudentAgent] Player 1 chose move with value=45.63, final depth=4, time=1.600s
[StudentAgent] Player 1 chose move with value=55.26, final depth=5, time=1.600s
[StudentAgent] Player 1 chose move with value=10000.00, final depth=6, time=0.014s
[StudentAgent] Player 2 chose move with value=-19.14, final depth=4, time=1.600s
[StudentAgent] Player 2 chose move with value=5.25, final depth=4, time=1.600s
[StudentAgent] Player 2 chose move with value=-25.59, final depth=4, time=1.600s
[StudentAgent] Player 2 chose move with value=-54.07, final depth=5, time=1.600s
[StudentAgent] Player 2 chose move with value=-52.60, final depth=3, time=1.600s
[StudentAgent] Player 2 chose move with value=-3.01, final depth=5, time=1.600s
[StudentAgent] Player 2 chose move with value=-3.01, final depth=4, time=1.600s
[StudentAgent] Player 2 chose move with value=4.29, final depth=4, time=1.600s
